Ontology ID	Label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	curator note	ontology term requester	term tracker item	Logical Type	Class Type	exact synonym	Has Subset	Member of superset 	db xref
obo:RBO_00000043	ISS-Zvezda	Zvezda			"An instance of a module on the International Space Station, operated by the Russian Space Agency."	Wikipedia	The experiment was conducted in the Zvezda module of the ISS.						individual	International Space Station module	Russian Service Module			
obo:RBO_00000048	SIS18				"An particle accelerator located at the GSI Helmholtz Centre for Heavy Ion Research, Darmstadt, Germay."		The experiment was carried out at the SIS-18 accelerator.						individual	obo:RBO_00000121				
obo:RBO_00000053	NSRL Solar Particle Event Simulation	NSRL SPESim			"The NSRL SPE simulatoris based on the fluence of the August 1972 event, with an energy spectrum similar to the March 1989 event.   The majority of the protons are at very low energies, below 1 MeV, and pose little to no risk to astronauts in a space craft or space suit.  The SPESim begins with 50 MeV protons, which amounts to 91.66% of the total dose.  Then the beam energy increments in steps of 10 MeV up to 150 MeV where 0.14% of the total dose is delivered."		The samples were irradiated using the NSRL Solar Particle Event Simulation.						individual	mixed radiation field	NSRL SPESim			
obo:RBO_00000056	Kyoto University Research Reactor-Heavy Water Neutron Irradiation Facility	KUR-HWNIF			"A heavy water tank of approximately 2 m3 adjacent to the core of the Kyoto University Research Reactor (KUR), a light-water moderated tank-type reactor."		The samples were irradiated with thermal neutrons at the KUR-HWNIF						individual	nuclear reactor	KUR-HWNIF			
obo:RBO_00000057	Hiroshima University Radiobiological Research Accelerator	HIRRAC			"A neutron generator  at the Research Institute for Radiation Biology and Medicine, Hiroshima University (RIRBM). Monoenergetic neutrons of which energy is less than 1.3 MeV are generated by the 7Li(p,n)7 Be reaction at proton energies up to 3 MeV."		The samples were irradiated with fast neutrons at the HIRRAC.						individual	obo:RBO_00000121	HIRRAC			
obo:RBO_00000059	Brookhaven National Laboratory Gamma Radiation Source Facility	BNL GRSF			"The Gamma Radiation Facility known as GRSF houses a cesium-137 gamma ray source which can provide gamma rays at a variety of dose rates. The gamma source is an industry standar dJ.L. Shepherd Mark I Model 68A 137Cs ? Irradiator. The photon energy from the source is 662 keV, with a Lineal Energy Transfer (LET) in water of approximately 0.8 keV/um. (https://www.bnl.gov/nsrl/grsf/)"				Jack Miller				individual	obo:RBO_00005039	BNL GRSF			
obo:RBO_00000054	NSRL Simplified Galactic Cosmic Ray Simulation	NSRL SimGCRSim			The NSRL Simplified Galactic Cosmic Ray Simulation uses 6 beams and 5 different ions including protons at two different energies. https://www.bnl.gov/nsrl/userguide/SimGCRSim.php		The samples were irradiated using the NSRL Simplified Galactic Cosmic Ray Simulation.						individual	mixed radiation field	NSRL SimGCRSim			
obo:RBO_00005043	Gammacell 40				http://www.theratronics.ca/PDFs/GC40_BTMB_8008GC40E_2_v112013_webSECURE.pdf								individual	obo:RBO_00005039				
obo:RBO_00005044	RARAF 5.5 MV microbeam				https://www.crr.columbia.edu/services/ion-beam-and-neutron-core-facility								individual	obo:RBO_00005042				
obo:RBO_00005045	Swift HALE				https://www.nasa.gov/feature/ames/nasa-small-business-partnership-prepares-drone-for-30-day-science-flights								individual	obo:RBO_00005035				
obo:RBO_00005046	ER-2				https://www.nasa.gov/centers/armstrong/aircraft/ER-2/index.html								individual	obo:RBO_00005034				
obo:RBO_00005047	WB-57				https://airbornescience.nasa.gov/aircraft/WB-57_-_JSC								individual	obo:RBO_00005034				
obo:RBO_00005073	Faxitron CP160				doi: 10.2349/biij.2.1.e1								individual	obo:OBI_0001138				
